State,Year,Week,Cases,Percent
Wisconsin,2017,51,164,0.0198872
Wyoming,2017,51,117,0.0141878
Alabama,2017,52,3583,0.4344874
Alaska,2017,52,231,0.0280119
Arizona,2017,52,1078,0.1307221
Arkansas,2017,52,286,0.0346814
California,2017,52,2413,0.292609
Colorado,2017,52,469,0.0568726
Connecticut,2017,52,68,0.0082459
Delaware,2017,52,4,0.0004851
District of Columbia,2017,52,270,0.0327412
Florida,2017,52,0,0
Georgia,2017,52,2412,0.2924877
Hawaii,2017,52,57,0.006912
Idaho,2017,52,13,0.0015764
Illinois,2017,52,2524,0.3060692
Indiana,2017,52,167,0.020251
Iowa,2017,52,83,0.0100649
Kansas,2017,52,379,0.0459589
Kentucky,2017,52,782,0.0948281
Louisiana,2017,52,6388,0.7746317
Maine,2017,52,25,0.0030316
Maryland,2017,52,189,0.0229188
Massachusetts,2017,52,796,0.0965258
Michigan,2017,52,566,0.0686352
Minnesota,2017,52,150,0.0181895
Mississippi,2017,52,2059,0.2496817
Missouri,2017,52,190,0.0230401
Montana,2017,52,3,0.0003638
Nebraska,2017,52,496,0.0601467
Nevada,2017,52,675,0.0818529
New Hampshire,2017,52,13,0.0015764
New Jersey,2017,52,1085,0.131571
New Mexico,2017,52,776,0.0941005
New York,2017,52,366,0.0443825
North Carolina,2017,52,234,0.0283757
North Dakota,2017,52,31,0.0037592
Ohio,2017,52,474,0.0574789
Oklahoma,2017,52,645,0.078215
Oregon,2017,52,1821,0.220821
Pennsylvania,2017,52,1333,0.1616443
Rhode Island,2017,52,45,0.0054569
South Carolina,2017,52,365,0.0442612
South Dakota,2017,52,302,0.0366216
Tennessee,2017,52,221,0.0267992
Texas,2017,52,1830,0.2219123
Utah,2017,52,205,0.024859
Vermont,2017,52,112,0.0135815
Virginia,2017,52,3523,0.4272115
Washington,2017,52,257,0.0311647
West Virginia,2017,52,823,0.0997999
Wisconsin,2017,52,109,0.0132177
Wyoming,2017,52,167,0.020251
Alabama,2018,1,3738,0.4532832
Alaska,2018,1,222,0.0269205
Arizona,2018,1,1249,0.1514582
Arkansas,2018,1,257,0.0311647
California,2018,1,2258,0.2738131
Colorado,2018,1,553,0.0670588
Connecticut,2018,1,85,0.0103074
Delaware,2018,1,9,0.0010914
District of Columbia,2018,1,310,0.0375917
Florida,2018,1,0,0
Georgia,2018,1,3067,0.3719154
Hawaii,2018,1,54,0.0065482
Idaho,2018,1,37,0.0044868
Illinois,2018,1,2495,0.3025526
Indiana,2018,1,194,0.0235251
Iowa,2018,1,50,0.0060632
Kansas,2018,1,499,0.0605105
Kentucky,2018,1,1096,0.1329049
Louisiana,2018,1,5047,0.6120172
Maine,2018,1,25,0.0030316
Maryland,2018,1,198,0.0240102
Massachusetts,2018,1,721,0.087431
Michigan,2018,1,676,0.0819742
Minnesota,2018,1,221,0.0267992
Mississippi,2018,1,1964,0.2381616
Missouri,2018,1,256,0.0310435
Montana,2018,1,3,0.0003638
Nebraska,2018,1,453,0.0549324
Nevada,2018,1,640,0.0776087
New Hampshire,2018,1,34,0.004123
New Jersey,2018,1,1142,0.138483
New Mexico,2018,1,869,0.105378
New York,2018,1,340,0.0412296
North Carolina,2018,1,257,0.0311647
North Dakota,2018,1,34,0.004123
